VOLTAIRE	VOLTAIRE
Candide egészen extázisba jött e beszélgetés alatt és ezt mondogatta magában: "Ez az állapot ugyancsak különbözik a westphaliai és a báró ur kastélyában uralkodó állapotoktól; ha Pangloss barátunk látta volna Eldoradót, bezzeg nem mondta volna, hogy a Thunder-ten-tronckh kastély a legszebb a világon; bizony jó, ha utazgat az ember."	Chàng Ngây Thơ nghe những lời cụ già nói, thấy rất khoái chí và tự nhủ thầm: "Thật là khác hẳn vùng Westphalie và tòa lâu đài của ngài nam tước: Nếu ông Pangloss đã đi thăm xứ Eldorado thì ông đã không nói rằng lâu đài của nam tước đẹp nhất trần gian; thật là cần phải đi cho biết đó biết đây."
Candide és Cacambo kocsiba ültek, röpült velök a hat kos és négy óra sem pergett le, már a királyi palotában voltak, mely a főváros tulsó részén feküdt.	Chàng Ngây Thơ và Cacambo lên xe ra đi, sáu con trừu kéo xe chạy như bay, chưa đầy bốn tiếng đồng hồ đã đến cung điện nhà vua, ở đầu thủ đô.
A bejárat kétszázhusz lépés magas és száz lépés széles volt; lehetetlen leirni, hogy milyen anyagból készült.	Cổng vào cao hai trăm hai mươi bộ và rộng một trăm bộ; không thể biết được cổng ấy làm bằng chất gì.
Világos, hogy nagyon is fölötte állt annak a kavicsnak és homoknak, melyet mi aranynak és drágaköveknek hivunk.	Chỉ có thể nói rằng nó được làm bằng một thứ đắt giá hơn rất nhiều những cục đá, sỏi và cát, gặp trên đường mà người ta gọi tên là: vàng bạc, châu báu, kim cương.
Mikor a trónterem felé közeledtek, Cacambo megkérdezte egy magasrangu udvarnoktól, hogy térdre kell-e borulni vagy hasra kell-e esni ő felsége előtt; kezöket a fejökre vagy az ülepükre kell-e tenni?	Đi gần đến ngai vàng, Cacambo hỏi một sĩ quan phải chào ra sao khi bái yết long nhan: Phải quỳ gối hay nằm áp bụng xuống đất; phải chắp tay lên đầu hay để đằng sau ót; phải liếm bụi ở dưới bệ ngọc hay phải làm cử chỉ gì khác, tóm lại nghi lễ phải như thế nào?
fel kell-e nyalni a szoba porát, szóval: milyen a szokásos szertartás?	Vị sĩ quan đáp: "Theo thông lệ thì phải ôm lấy vua và hôn hai bên".
"Az a szokás, felelte a magasrangu udvarnok, hogy megölelik a királyt s mindkét arcát megcsókolják."	Theo lời dặn ấy, chàng Ngây Thơ và Cacambo thi hành đúng theo thủ tục.
Miután a délután folyama alatt a város ezredrészét bejárták, visszavezették utasainkat a király­hoz.	Sau khi mất trọn buổi chiều, đi xem được một phần ngàn của thành phố, người ta đưa hai khách ngoại quốc trở về cung điện nhà vua.
Cacambo tolmácsolta Candide-nak, a király szellemességeit, melyek más nyelvre forditva is megtartották eredeti zamatjukat.	Cacambo thông dịch những lời vàng ngọc của nhà vua nói với khách và dù là dịch lại, những lời ấy vẫn nguyên tính chất là lời vàng ngọc.
De ha mindenáron el akartok menni, parancsot adok mérnökeimnek, hogy készitsenek egy oly gépet, mely kényelmesen átszállit benneteket.	Vì thần dân của tôi đã có lời nguyền không ra khỏi xứ và họ khôn ngoan, không chịu phá lời nguyền ấy.
Candide-ot és Cacambot feltették a gépre; feltettek két nagy piros juhot felnyergelve és felkantározva, hogy azokra üljenek, ha majd tul lesznek a hegyeken, azonkivül husz kos élelmi­szerekkel volt megrakva, harmincat az ország legértékesebb kincseivel terheltek meg, ötvenet arannyal, drágakövekkel és gyémántokkal.	Hai con trừu lớn đã được thắng yên cương đầy đủ để dùng thay ngựa cho hai du khách, một khi đã vượt qua núi đặt chân xuống mặt đất; hai chục con trừu loại chuyên chở được chất đầy lương thực trên lưng; ba chục con khác chở những vật quý, lạ, làm quà cho hai du khách; năm chục con nữa chở những vàng, ngọc, kim cương.
A király gyöngéden átölelte a két világ­járót.	Nhà vua dịu dàng ôm hôn hai chàng lãng tử.
TIZENKILENCEDIK FEJEZET.	Chàng Ngây Thơ nhủ thầm:
Candide ismeretséget Martinnal?	HAI NGƯỜI ĐẾN SURINAM; CHÀNG NGÂY THƠ LÀM QUEN VỚI MARTIN
Utasaink első napjai elég kellemesen teltek el.	Ngày thứ nhất hai thầy trò cảm thấy thật là dễ chịu.
Felbátoritotta őket az a tudat, hogy több kincs volt birtokukban, mint amennyit Ázsia, Európa és Afrika együtt felmutathatnak.	Họ được kích thích bởi ý nghĩ rằng họ sẽ giàu có lớn; của cải của họ sẽ hơn cả những kho tàng ở Á châu, u châu, Phi châu gộp lại.
Candide egészen oda volt az örömtől és ezerszer felkarcolta a fákra Kunigunda nevét.	Chàng Ngây Thơ khoái trá, thỉnh thoảng đứng lại khắc tên Cunégonde lên cây.
Fáradságunk véget ér és boldogságunk kezdetéhez jutottunk."	Chúng ta đã khó nhọc tới cực độ, bây giờ bắt đầu thấy có may mắn được sung sướng rồi đấy.
Amint a város felé közeledtek, egy négert láttak a földön elterülve, kinek csak fél-ruhája volt, azaz egy kék vászon alsónadrágja; a bal lába és a jobb keze hiányzott e szerencsétlen ember­nek.	Đi tới gần thành phố này họ được gặp một người mọi da đen nằm dài trên mặt đất, chỉ có được một cái quần cụt bằng vải xanh che thân, con người khốn khổ này lại mất một chân trái và một bàn tay phải.
- Gazdámat várom, Vanderdendur urat, a világhirü kereskedőt, felelé a néger.	- Tôi chờ chủ tôi là ông Vanderdendur, một nhà buôn lớn.
- Vanderdendur ur bánt el veled ily kegyetlenül, kérdezte Candide.	- Phải chăng ông Vanderdendur đã đối xử với anh như thế này?
nem tudom, megalapitottam-e az ő szerencséjöket, de ők nem teremtették meg az enyémet; a kutyák, majmok és papagályok ezerszerte boldogabbak nálunk; a hollandiai fetisek, kik a keresztény hitre téritettek, minden vasárnap azt prédikálják, hogy valamennyien, fehérek és feketék, Ádám gyermekei vagyunk.	Những mục sư Hà Lan là người đã làm cho chúng tôi theo đạo, Chủ nhật nào cũng nói với chúng tôi rằng tất cả mọi người đều là con của ông Adam, dầu là người da trắng hay da đen.
- Ó Pangloss!	- Ông Pangloss ơi!
- Mi az az optimizmus?	- Chủ nghĩa lạc quan là cái gì vậy?
kérdé Cacambo.	Cacambo hỏi.
- Ó jaj!	- Than ôi!
mondá Candide, valami olyan őrület, mely azt mondatja velünk, hogy minden jól van, midőn minden rosszul van."	Và chàng chảy nước mắt, nhìn lại người mọi da đen; chàng vừa khóc vừa đi vào thành phố Surinam.
És patakként hulltak a könnyei, amint a négerre tekintett és sirva értek Surinamba.	Người mà họ hỏi được tin ấy chính là một chủ tàu Y Pha Nho.
Az a személy, akihez fordultak, éppen egy spanyol hajóskapitány volt, ki fogadkozott, hogy tisztességesen megfelel a kivánságuknak; találkát adott nekik egy korcsmá­ban; Candide és Cacambo bevárták őt a megbeszélt helyen a kosokkal.	Chàng Ngây Thơ và người thuộc hạ trung tín Cacambo đến chờ ông ta ở đây cùng với hai con trừu.
Candide, kinek minden a száján is volt, ami a szivén, elmesélte a spanyolnak minden kalandját és bevallotta neki azt is, hogy Kunigunda kisasszonyt szeretné megszöktetni.	Chàng Ngây Thơ vốn tính bộp chộp kể lại chuyện cho người chủ tàu nghe những chuyến phiêu lưu của chàng và thú thật với ông rằng chàng muốn giải thoát cho cô Cunégonde.
Cacambonak megtetszett a bölcs tanács, ámbár nagyon elszomoritotta, hogy el kell válnia jó gazdájától, ki benső barátjának tekintette őt; de az öröm, hogy segithet rajta, felülmulta a fájdalmat.	Anh thấy thất vọng phải xa chủ anh, nay đã trở thành người bạn thân thiết nhưng nghĩ đến việc có thể giúp ích cho bạn, anh lại vui mừng và trấn áp được sự đau lòng ly biệt.
Cacambo még e napon utrakelt; derék fickó volt ez a Cacambo.	Cacambo đi liền ngày hôm ấy: Thật là một người tận tâm với bạn.
Candide még néhány napon Liszabonban maradt és egy másik hajóskapitányra várt, aki el­vinné őt Olaszországba, a két megmaradt kossal együtt.	Chàng Ngây Thơ còn ở lại thành phố Surinam ít lâu nữa, để chờ gặp một chủ tàu khác chịu chở chàng đến nước Ý cùng với hai con trừu còn lại.
Szolgákat fogadott és mindent bevá­sá­rolt, ami egy hosszu utazásra szükséges; végre Vanderdendur ur, egy nagy hajó tulajdonosa, jelentkezett nála.	Chàng thâu dụng vài người đầy tớ và mua tất cả những gì cần thiết cho một cuộc hành trình khá dài.
"Mennyiért visz el Velencébe, kérdezte meg ezt az embert, engem, szolgái­mat, málháimat és ezt a kost?" A hajótulajdonos tizezer piasztert kért.	Thằng cha này đã ưng chịu cái giá mười ngàn một cách dễ dàng thì hắn cũng có thể trả hai chục ngàn." Nghĩ vậy, y trở lại nói với chàng Ngây Thơ rằng y chỉ có thể đưa chàng đến Venise với cái giá hai chục ngàn, chàng Ngây Thơ liền đáp:
Candide nem alkudott.	- Thì ông sẽ có đủ hai chục ngàn!
"Ó, mondá magában a ravasz Vanderdendur, ez az idegen egyszerre megadja a tizezer piasztert?!	"Hừ, tay lái buôn nghĩ thầm, thằng cha này bằng lòng trả hai vạn cũng dễ dàng như một vạn".
ugy látom, nagyon gazdag." Egy pillanat mulva visszatért és kijelentette, hogy húszezren alul nem szállitja át őket.	Hắn trở lại và nói rằng nếu kém ba vạn thì hắn không thể chở chàng Ngây Thơ đến Venise được, chàng Ngây Thơ trả lời:
"Megadom!	-Thì ba vạn!
"Legyen tehát harmincezer, felelte Candide.	Chàng trả trước cho y đủ số tiền.
Candide eladott két kis darab gyémántot, melyek közül a kisebb is többet ért, mint az egész összeg, melyet a hajótulajdonos követelt: előre ki is fizette.	Chàng Ngây Thơ nhìn theo chiếc tàu đi mau lẹ, rồi mất hút, chàng thất thần và ngạc nhiên: "Trời ơi!
Először a két kost tették hajóra: Candide is arra csónakázott, hogy a révnél maga is hajóra szálljon.	Đây là một vụ lường gạt xứng đáng với con người ở Cựu Thế giới".
kiáltott fel, ez a gazság igazán az ó-koriakhoz méltó." Fájdalomba merülve evezett vissza a partra; nem csoda: hisz annyi kincset vesztett el, amennyivel husz uralkodó szeren­cséjét meg lehetne alapitani.	Chàng đến văn phòng ông thẩm phán Hà Lan; trong lúc bối rối chàng gõ cửa khá mạnh; vào trong phòng vị thẩm phán, chàng trình bày việc vừa xảy ra và nói lớn tiếng hơn thường lệ.
A biró azzal kezdte, hogy tizezer piasztert fizettetett vele, amiért oly nagy zajt csapott: azután türelmesen végighallgatta, megigérte, hogy mihelyt a kereskedő visszatér, megvizsgálja ügyét és ekkor még tizezer piasztert fizettet vele a kihallgatásért.	Nhưng lần này thái độ lạnh lùng của ông tòa và lòng gian xảo của ông chủ tàu đã đoạt của của chàng, làm cho chàng phải chìm đắm trong một nỗi buồn u uất.
A pályázók oly tömege jelentkezett, hogy egy hadihajón sem fért volna el.	Người đến kiếm chàng xin đi rất đông, nếu thuê cả một cái tàu chở cũng không hết.
A tanácskozás egészen hajnali négy óráig tartott.	Buổi nói chuyện kéo dài đến tận bốn giờ sáng.
"Pangloss, mondta magában, ugyancsak zavarba jönne, ha rendszerét be kellene bizonyitania; bárcsak itt lehetne.	Sau đó chàng quyết định chọn một nhà thông thái bạc phước đã làm việc mười năm cho các thư quán ở Amsterdam.
Az biztos, hogy csak Eldorádóban folynak jól a dolgok, és sehol másutt a világon."	Chàng xét ra không còn có gì đáng chán ngán bằng cái nghề ấy.
Végül egy szegény tudós javára döntötte el a dolgot, ki tiz esztendeig dolgozott az amszter­dami könyvkereskedések részére.	Nhà thông thái này đã bị vợ đoạt hết của cải, bị con trai đánh đập và bị mất người con gái vì cô đi theo một tên Bồ Đào Nha.
Ugy találta, hogy nincs a világon oly mesterség, melytől jobban meg lehetne undorodni.	Ông lại vừa mất việc làm, một việc mà ông nhờ đó sống lay lắt bấy lâu.
A vetélytársak mind ugy érezték, hogy Candide nagy igazságtalanságot követett el velök szemben; Candide azonban mindegyiknek száz piasztert adott s ezzel megnyugtatta őket.	Sau khi nhà thông thái được lựa chọn, những người khác tỏ vẻ bất bình vì họ tưởng mình còn khổ hơn ông, mà không được lựa chọn, chàng Ngây Thơ làm dịu lòng phẫn uất của họ bằng cách tặng mỗi người một trăm đồng bạc.
HUSZADIK FEJEZET.	Chương XX
Mi történt Candide-dal és Martinnal a tengeren?	ĐIỀU GÌ XẢY RA TRÊN BIỂN VỚI CHÀNG NGÂY THƠ VÀ MARTIN
Az agg tudós tehát, kinek Martin volt a neve, Bordeaux felé hajózott Candide társaságában.	Nhà thông thái già Martin thế là được xuống tàu đi Bordeaux với chàng Ngây Thơ.
"És te, Martin mester, mondá a tudósnak, mit gondolsz minderről?	- Thế nào, ông Martin, ông có ý kiến gì về các câu chuyện của tôi?
mi a véleményed az erkölcsi és fizikai rosszról?	Ông nghĩ sao về cái khổ vật chất và cái khổ tinh thần?
- Uram, felelé Martin, papjaim azzal vádoltak, hogy szociniánus vagyok, holott igazság szerint manicheus vagyok.	- Thưa ông, các mục sư của tôi tố cáo tôi theo phái Socin.
- Egyedül én vagyok az, mondá Martin; hiába, nem tudok máskép gondolkozni.	Hiện nay đâu còn tín đồ giáo phái ấy? - Còn có tôi là tín đồ.
- Biztosan az ördög bujt beléd, mondá Candide.	Tôi không thể nào tin tưởng khác được. - Ông bị ma quỷ ám ảnh sao?
Még nem láttam olyan várost, mely ne kivánta volna a szomszéd város pusztulását, sem olyan családot, mely ne akart volna egy másik családot megsemmisiteni.	Tôi chả thấy thành phố nào mà lại không muốn tàn phá thành phố bên cạnh, chưa bao giờ nhìn thấy một gia đình nào mà lại không muốn tiêu diệt gia đình khác.
A gyöngék mindenütt átkot szórnak a hatalmasokra, kik előtt csusznak-másznak, a hatalmasok pedig mindég ugy bánnak velök, mint a nyájakkal, melyeknek gyapját és husát áruba bocsátják.	Ở các xứ trên Trái đất này, kẻ yếu ghét cay ghét đắng kẻ mạnh mà vẫn mọp xuống trước mặt những kẻ mạnh; còn kẻ mạnh coi kẻ yếu như bầy trừu để lấy lông và đem bán thịt.
A titkos fájdalmak még a nyilvánvaló nyomoruságnál is rettentőbbek... Egy szóval: én annyit láttam és tapasztaltam, hogy manicheus lettem.	Tóm lại tôi đã thấy việc đời quá nhiều, đau khổ quá nhiều đến phải tin tưởng ở lý thuyết thiện ác cộng đồng.
- De azért mindenütt lehet találni valami jót, jegyezte meg Candide.	Chàng Ngây Thơ cãi: - Tuy vậy khắp nơi còn ít nhiều điều tốt.
- Lehet, mondá Martin, de én kételkedem benne."	- Có thể có, song tôi không biết điều tốt ấy ở đâu?
Mindenki messzelátójához nyult.	Mỗi người lấy viễn kính ra nhòm.
Két hajót pillantottak meg, mely körülbelül három mértföldnyi távolságból támadt egymásra: a szél mindkettőt olyan közel sodorta a francia hajóhoz, hogy kényelmesen végig lehetett nézni a harc kimenetelét.	Người ta thấy hai tàu bắn nhau, cách xa nhau chừng ba dặm; và gió thổi nên hai tàu ấy bị đẩy tới gần chiếc tàu Pháp, người ta lại càng thấy rõ hơn hai chiếc tàu chiến.
Végül az egyik hajó a másiknak oly hatalmas sortüzet adott, hogy az utóbbi léket kapott a fenekén.	Sau chót, một chiếc tàu bắn một phát trúng phóc sườn tàu địch, làm cho nó bắt đầu chìm, chàng Ngây Thơ và ông Martin thấy rõ chừng trăm người trên boong thượng.
"No, látod, mondá Martin, hogy bánnak az emberek egymással.	- Coi đó! Con người đối xử với nhau như thế đó!
- Bizony valami ördögi van a dologban" mondá Candide.	- Thật là có cái gì ma quái trong vụ này. Chàng Ngây Thơ đáp.
Egyike volt a kosoknak.	Thì ra là một con trừu lông đỏ.
Candide jobban megörült annak, hogy ezt az egy kost megtalálta, mint amennyire lesujtotta, hogy százat elvesztett, mely Eldorádó drága gyémántjaival volt meg­rakva.	Chàng Ngây Thơ vui mừng khi thấy lại con vật ấy, lòng vui còn lớn hơn cả nỗi buồn khi mất trăm con chở kim cương và bảo vật, lấy được từ xứ Eldorado.
A francia kapitány rögtön észrevette, hogy a győztes hajó parancsnoka spanyol nemzetségü volt, az elmerülté pedig egy holland kalóz: az, amelyik megrabolta Candide-ot.	Vị thuyền trưởng Pháp nhận ra rằng thuyền trưởng chiếc thuyền bắn chìm chiếc tàu địch là một người Y Pha Nho, còn thuyền trưởng chiếc tàu chìm là một tên cướp biển Hà Lan; chính tên này đã đoạt bảo vật của chàng Ngây Thơ.
A végtelen gazdagság, melyet ez a gazember megkaparitott, vele együtt a tengerbe veszett és csak az az egyetlen kos menekült meg.	Tất cả các bảo vật ấy chìm xuống biển theo tên cướp; chỉ còn một con trừu sống sót, chàng Ngây Thơ nói với Martin:
Tizenöt napig szakadatlanul vitatkoztak és a tizenötödik napon is csak odáig jutottak, ameddig az első napon: de fődolog, hogy mégis beszélgettek, eszmecserét folytattak és ezzel vigasztalták egymást.	Chiếc tàu Pháp cùng chiếc tàu Y Pha Nho tiếp tục cuộc hành trình trong khi chàng Ngây Thơ và Martin tiếp tục đàm luận, kéo dài cả mười lăm ngày mà kết quả thì cũng như ngày đầu tiên.
Candide gyöngéden megcirogatta kosát s azt mondta: "Ha téged megtaláltalak, biztosan megtalálom Kunigundát is."	Nhưng cuối cùng, hai người cũng được trò chuyện với nhau, trao đổi ý kiến, an ủi nhau.
HUSZONEGYEDIK FEJEZET.	Chàng Ngây Thơ vuốt ve con trừu:
Candide és Martin Franciaország partjai felé	- Ta đã tìm thấy mi thì ta có thể gặp lại Cunégonde.
Végre meglátták Franciaország partjait.	Đã thấy bờ biển nước Pháp, chàng Ngây Thơ hỏi Martin:
"Voltál már valaha Franciaországban?	- Ông có bao giờ đến nước Pháp chưa?
- Hát Párist láttad-e már?	- Nhưng ông Martin ơi, ông đã thăm Paris chưa?
- De hogy el ne felejtsem: te is azt hiszed, hogy a föld eredetileg tenger volt, mint ahogy a hajóskapitány vastag könyvében meg van irva?	- À này, ông Martin, ông có tin hay không rằng Trái đất nguyên thuỷ chỉ là một đại dương, như là cuốn sách của vị thuyền trưởng đã nói?
- Semmit sem hiszek el belőle, mondá Martin, valamint a többi ábrándos föltevésekből sem, amiket egy idő óta terjesztenek.	- Tôi không thể nào tin được, cũng như không thể tin bao nhiêu chuyện ảo tưởng mà ít lâu nay người ta vẫn tuyên truyền.
- De végre is mi célból lett teremtve a világ?	- Chẳng biết Trái đất này được hình thành vì cứu cánh nào?
kérdé Candide.	Chàng Ngây Thơ hỏi.
- Hogy meg­bolonduljunk, válaszolá Martin.	- Để làm cho chúng ta điên hết. Martin đáp.
- Nem csodálkozol-e szerfelett, folytatta a kérdezősködést Candide, ama két leánynak a majmok iránt érzett szerelmén az Oreillonok országában, a kikkel való kalandomat elmeséltem?	- Ông có tin chuyện hai phụ nữ yêu loài khỉ ở xứ rợ Oreillon, như là tôi đã kể cho ông nghe không? - Tôi không thấy gì kỳ lạ trong sự đam mê của hai phụ nữ ấy.
- Egy cseppet sem csodálkozom rajta, mondá Martin; nem látom ezt a szenvedélyt különösnek; hiszen annyi rendkivüli dolgot láttam már!	Tôi đã từng thấy nhiều việc kỳ lạ hơn nên không cho chuyện ấy là lạ kỳ.
- Mit gondolsz, kérdé Candide, vajjon az emberek mindég igy mészárolták egymást, mint manap­ság?	- Ông có tin là con người cứ tàn sát lẫn nhau mãi mãi như ngày nay không?
mindig ily hazugok, gazemberek, álnokok, hálátlanok, rablók, csélcsapok, gyávák, irí­gyek, inyencek, részegesek, kapzsik, dicsvágyók, vérengzők, rágalmazók, tobzódók, fanatiku­sok, képmutatók és ostobák voltak?	Ông có tin họ còn mãi mãi là những kẻ ăn cắp, gian xảo, dối trá, bội bạc, ăn cướp, nhu nhược, lả lướt, hèn hạ, tham lam, say sưa, biển lận, đa sát, phỉ báng, trác táng, cuồng tín, giả đạo đức và ngu dại?
- Mit gondolsz, felelé Martin, vajjon a sólymok mindég megették a galambokat, ha rájuk bukkantak?	Martin hỏi lại: - Ông có tin rằng diều hâu luôn luôn ăn thịt chim bồ câu khi chúng bắt gặp?
- Kétségkivül, mondá Candide.	- Chắc hẳn là thế.
- Nos, mondá Martin, ha a sólymoknak mindég egyforma volt a természetök, miért tételezed fel, hogy az emberek természete változott?	- Loài diều hâu giữ mãi cá tính, thì tại sao ông mong loài người thay đổi cá tính được. - Ồ!
Ilyen okoskodások közben értek Bordeauxba.	Trong khi nói đến đây, tàu đã tới bến Bordeaux.
HUSZONKETTEDIK FEJEZET.	Chương XXII
Mi történt Candide-dal és Martinnal Franciaországban?	BIẾN CỐ XẢY ĐẾN CHO HAI NGƯỜI Ở NƯỚC PHÁP
Azonban az utasok, kikkel Candide az utszéli korcsmákban találkozott, valamennyien azt mondták: "Megyünk Párisba" Látva ezt az általános buzgóságot, Candide-nak is kedve kerekedett a fővárosba menni: azért még nem kell nagy kitérőt tenni Velencétől.	Giải thưởng rốt cuộc được phát cho một nhà thông thái miền Bắc đã chứng minh bởi A hơn B, kém C, bị phân chia bởi Z nên con cừu phải đỏ và chết vì bệnh đậu cừu.
Martin megjegyezte:	Martin nói với chàng Ngây Thơ:
"Emlékszem, hogy én is beteg voltam Párisban első ittlétem alkalmával, de mivel szegény voltam, nem voltak mellettem se barátok, se apácák, sem orvosok és - mégis meggyógyul­tam."	- Tôi còn nhớ lần thứ nhất tôi đến Paris, cũng bị đau, song khi ấy tôi nghèo, không ai đến săn sóc cho tôi cả, không có y sĩ, không có bạn thân, không có bà mộ đạo. Vậy mà tôi cũng hết bệnh.
A civakodás elmérge­se­dett s Martin megragadta a papot vállánál fogva és irgalmatlanul kidobta; ebből nagy botrány lett, melyről jegyzőkönyvet is vettek fel.	Martin hích vai và đuổi cổ lão thầy tu một cách thô bạo, đó là nguyên nhân của một vụ bê bối lớn mà người ta phải lập biên bản. Chàng Ngây Thơ khỏi bệnh.
Candide elcsodálkozott rajta, hogy soha sem volt disznója, de Martin nem csodálkozott ezen.	Chàng rất ngạc nhiên là khi chia bài không bao giờ con "ách" đến với chàng.
Ámde egy gáncsoskodó, aki mellette ült, igy szólt hozzá felvonásközben:	Tuy vậy chàng cũng phải khóc khi xem vài màn diễn xuất hay.
- Tisz­te­lendő uram, kérdé Candide az apáttól, körülbelül hány szindarabja van Franciaországnak?	Tác giả không biết một tiếng Ả Rập vậy mà tích tuồng lại là chuyện xảy ra ở nước Arabie.
- Öt vagy hatezer, feleli az apát.	- Thưa ngài, tại Pháp có bao nhiêu vở kịch?
- Ez sok, jegyezte meg Candide, és hány jó van köztük?	- Năm ngàn hay sáu ngàn vở. - Thế thì quá nhiều đó.
- Tizenöt vagy tizenhat, válaszolt a másik.	Có bao nhiêu vở hay? - Mười lăm hay mười sáu vở.
- Ez sok, mondá Martin."	- Cũng nhiều quá đấy.
"Az a vidékektől függ, mondá az apát; vidéken a korcsmába viszi őket az ember; Párisban megbecsülik őket, mig szépek s ha meghaltak, a szemétdombra jutnak.	- Phải phân biệt từng trường hợp: ở các tỉnh, người ta mời họ đi ăn uống; ở Paris người ta tôn trọng họ khi họ còn đẹp; và liệng họ ra đường, khi họ đã chết.
- A királynők a szemétdombon!	- Nữ hoàng mà bị liệng xác ra đường sao?
kiáltott fel Candide.	Martin xen lời vào.
- Ez igen nagy udvariatlanság, mondá Candide.	Martin đáp: - Biết làm sao bây giờ?
- Igaz, hogy Párisban mindég kacagnak?	- Phải chăng người ta hay cười cợt ở Paris?
kérdé Candide.	Vị tu viện trưởng đáp:
- Igen, de néha dühükben nevetnek, mondá az apát; mert mindenért hangos kacagással panaszkodnak; és a legutálatosabb dolgot is kacagva hajtják végre.	- Phải, nhưng người ta vừa cười vừa muốn điên lên được: Người ta phàn nàn đủ mọi thứ, với những trận cười nổ vang, kể cả trận cười khi làm những việc bỉ ổi nhất.
- Mi az a zug-irodalmár, érdeklődött Candide.	- Thế nào là kẻ "bán văn" vô loại?
- Egy könyv­gyártó, egy Fréron, válaszolt az apát."	- Nó là một kẻ viết cho đầy giấy, một con rắn độc, kiểu như tên Fréron.
Ily eszmecserét folytattak Candide, Martin és a perigordi apát a kijárat mellett, miközben nézték a szinházból kitóduló közönséget.	 Chàng Ngây Thơ và Martin cùng vị tu viện trưởng đàm luận như vậy khi xuống thang ra về, nhìn theo đám khán giả.
- Ámbár égek a vágytól, mondá Candide, hogy viszontlássam Kunigunda kisasszonyt, mégis nagyon szeretnék Clairon kisasszonnyal együtt vacsorálni, mert bámulója lettem!	Chàng Ngây Thơ nói: - Dầu tôi nóng lòng gặp cô Cunégonde, tôi cũng muốn mời cô đào Clairon dùng bữa tối với tôi, vì tôi thấy cô thật khả ái.
A lakájok a maguk nyelvén mondogatták egymásnak: Ez alighanem valami angol milord.	Bà gọi người đem một bộ bài, một cái ghế cho chàng Ngây Thơ ngồi.
"Olvastad-e, kérdé a perigordi apát, Gauchat urnak, a theologia dokto­rá­nak könyvét?	Bữa ăn diễn tiến thông thường như các bữa ăn khác ở Paris.
- Igen, felelte az egyik vendég, de nem voltam képes bevégezni; mert bár rengeteg szemérmetlen irodalmi fércmunkánk van, de egyik sem közeliti meg Gauchat urnak, a theologia doktorának arcátlanságát; annyira megundorodtam ezektől az utálatos könyvektől, melyek valósággal elárasztanak már bennünket, hogy kénytelen voltam ráadni a fejem a fáraó játékra.	Trước hết người ta yên lặng; kế đến là những tiếng xì xào, nghe không rõ; rồi đến những câu vui đùa phần nhiều vô vị, những tin thất thiệt, những lời lí luận sai lầm, một chút chính trị và nhiều lời nói xấu, phỉ báng; người ta cũng nói đến cả những sách mới xuất bản. Ông tu viện trưởng hỏi:
- És mit szól Trublet esperes ur Vegyes irataihoz, kérdé az apát.	- Các ông có thấy cuốn tiểu thuyết của cái ông Gauchat, tiến sĩ triết học chưa?
- Ó, szólalt meg Polignac asszony, az az unalmas halandó!	- Dạ đã, một thực khách đáp, nhưng tôi không thể đọc hết được.
milyen fontoskodással mond el olyan dolgot, melyekről nem is érdemes megemlékezni!	Tôi đã chán ngấy những sách đáng ghét ấy, xuất bản tràn ngập; chán đến nỗi tôi đi đánh bạc còn hơn.
ó mint utálom!...	Đọc buồn chết đi được!
De többet már nem fog bosszantani; teljesen elég, ha néhány lapot elolvastunk az esperes ur irásaiból."	Thật tôi chán ngấy ông ta; nhưng tôi không còn phải chán ngấy nữa vì tôi chỉ đọc có vài trang thôi.
Volt az asztalnál egy tudós és választékos izlésü ember, ki mindenben megerősitette azt, amit a márkinő állitott.	Tại bàn ăn có một người ra vẻ thông thái và ý thức; ông ta nói vài tiếng ủng hộ luận điệu của bà hầu tước.
"Ha valaki, tette hozzá, nem veszi figyelembe mind e szabályokat, irhat ugyan egy-két olyan darabot, melyet a szinházban megtapsolnak, de sohasem lesz igazán jó iró.	- Ai mà không tôn trọng các nguyên tắc ấy có thể sáng tác một hai vở kịch được hoan nghênh trên sân khấu nhưng không bao giờ được liệt vào hạng các văn nhân danh tiếng.
Kevés, igazán jó tragédia van, némelyikök nem egyéb, mint csengőn rimelő és jól megirt idyll párbeszédes formában: némelyek politikai okoskodások, melyek elaltatnak vagy szóhalmozások, melyek visszataszitanak; van olyan, mely nem más mint barbár stilusban megirt hagymázos álom, az istenekhez intézett szakadozott mondatokban, mert telve hamis tételekkel, dagályos köz­helyekkel, nem képes az emberekhez szólni."	Có rất ít vở bi kịch hay: Có những vở hay về đối thoại; những vở khác lại chỉ có những lý luận chính trị, làm cho khán giả buồn ngủ; những vở kịch khác nữa tả những ảo mộng, viết bằng lối văn thô lỗ, với những lời nói dài dòng, những tiếng kêu gọi thần linh, những lời khuyên răn sai lầm, những ý tưởng tầm thường, những sáo ngữ.
"- Mily nagy ember!	Chàng Ngây Thơ bèn nói:
- E szennyfoltokat maguk az emberek okozzák, jegyezte meg Candide, és nem képesek azt elkerülni.	- Nhà hiền triết của ông coi thường thiên hạ quá! Martin xen lời vào.
- Akkor hát nem az ő hibájok," mondá Martin.	- Những vết đen ấy là do con người gây ra.
