Miếng Da Lừa	A SZAMÁRBŐR
Như một con chó gộc tin chắc ở sức mình, anh chờ cuộc chiến đấu ở nhà mình, mà không cắn sủa vô ích.	Mint valami dogg, amely ismeri a maga erejét, fölösleges csaholás nélkül várta, hogy rátámadjanak.
Vào quãng buổi tối sắp tàn, anh đi dạo trong phòng đánh bạc, đi từ cửa vào buồng này sang cửa phòng bi-a, thỉnh thoảng lại đưa mắt nhìn những gã thanh niên đang đánh bi-a.	Később a játékteremben sétálgatott, majd átment a billiárd-szobába, koronkint egy-egy pillantást vetve a játszó fiatal emberekre.
Đi được vài vòng, anh nghe thấy họ nói đến tên anh.	Alig került-fordult, már hallotta, hogy a nevét emlegetik.
Tuy họ nói nhỏ, Raphaël cũng dễ đoán được rằng họ đang tranh luận về anh, và cuối cùng anh nghe được mấy lời nói to.	Bár halkan beszéltek, könnyü volt kitalálnia, hogy ő a vitájuk tárgya, mely egyre hangosabbá lett, végre egészen szabadon, fennszóval folyt.
- Cậu ấy à?	– Te?
- Ừ tớ!	– Igen, én!
- Tớ thách cậu đấy!	– Nem bizom benned!
- Đánh cuộc này?	– Fogadunk?
Hắn sẽ nhận đấy.	– Ó, el fog menni.
- Thưa ông, cái lối đùa đó, thịnh hành trong nhiều trại lính thời Đế chính, ngày nay đã trở thành lố bịch rồi, - Raphaël lạnh lùng đáp.	– Uram, ez a tréfa, mely a Császárság alatt széltire járta a garnizonokban, manapság már csak faragatlanságra vall, – válaszolt hidegen Raphael.
- Ông đã theo y học ở đâu đấy?	– Hol tanulta ön az orvostudományt?
- Raphaël hỏi.	– kérdezte Raphael.
- Thưa ông, tôi đã đỗ tú tài trường bắn Lepage ở Paris, và đỗ tiến sĩ ở nhà Lozès, ông vua kiếm thuật.	– Uram, én a lövésben baccalaureatus lettem Lepagenál, Párisban; Cérisiernél, a tőrvivás fejedelménél pedig licentiatus.
- Ông còn thiếu một bằng nữa cần phải giật lấy - Valentin đáp - ông hãy đọc Phép tắc xã giao, ông sẽ trở thành quý tộc hoàn toàn.	– Akkor mindössze egy dologgal tartozik már csupán, – vetette oda neki Valentin, – tanulmányozza az udvariasság kódexét és kifogástalan gavallérrá válik.
Lúc đó đám thanh niên, mỉm cười hay yên lặng bỏ bàn bi-a tới.	Ekkorra már a mosolygó és figyelmesen hallgató fiatal emberek otthagyták a billiárdasztalt.
Những người đánh bạc khác cũng để ý, bỏ quân bài xuống để nghe cuộc cãi cọ làm hứng thú cuộc vui của họ.	A többi játszó is figyelni kezdett, s lecsapta a kártyát, hogy hallhassa a civódást, mely izgalmát még növelte.
- Thôi?	– Elég!
Thôi?	Elég!
Ngày mai hai ông sẽ phân bua với nhau, - nhiều gã thanh niên len vào giữa hai tay đối thủ mà nói.	Majd holnap számot ad róla, – mondták néhányan, s a két civódó közé léptek.
Raphaël bước ra khỏi phòng khách, với danh nghĩa là người khiêu chiến, sau khi đã nhận gặp nhau gần lâu đài Bordeau, trong một cánh đồng cỏ nhỏ dốc thoai thoải, gần bên con đường cái mới mở mà kẻ thắng trận có thể theo đó đi tới Lyon.	Raphael mint sértő fél távozott el a teremből, miután elfogadott találkozóhelyül egy kis lankás rétet a bordeauxi kastély mellett, meglehetősen közel az ujonnan vágott uthoz, melyen a győző fél majd Lyonba menekülhet.
Raphaël nhất thiết phải hoặc nằm tại giường hoặc rời bỏ Aix.	Raphaelnek tehát csupán két dolog között lehetett választása: vagy ágyba kerül, vagy elhagyja a fürdőt.
Xã hội đã thắng.	Mégis a társaság győzött.
Hôm sau đúng tám giờ sáng, đối thủ của Raphaël, cùng đi với hai nhân chứng và một thầy thuốc phẫu thuật tới đấu trường trước tiên.	Másnap reggeli nyolc órakor Raphael ellenfele érkezett elsőnek a találkozó helyére, két segédjével és a seborvossal.
- Nếu tôi bắn nhằm vai hắn, hắn nói tiếp, tôi sẽ bắt hắn phải nằm giường đến một tháng không, hở bác sĩ?	– Ha csak a vállán horzsolnám is meg, már egy hónapra kerülne ágyba, ugy-e doktor?
- Ít nhất là thế, - viên thầy thuốc phẫu thuật đáp.	– Legalább is annyira, – jelentette ki a doktor.
- Nhưng ông để mặc cây liễu con ấy đấy; nếu không ông làm mỏi tay ông và không chủ động được tay súng, ông có thể giết ngoéo đối phương của ông chứ không phải là làm bị thương đâu.	– De hagyja békén már azt a rekettyét, mert csak a karját fárasztja ki vele és nem lesz biztos a lövése, azután még megeshetik, hogy megöli azt az embert, a helyett, hogy csak megsebezné.
Có tiếng xe vang lên.	Kocsizörgés hallatszott.
- Hắn đây rồi, - những nhân chứng nói, và liền đó trông thấy trên đường cái một chiếc xe ngựa bốn bánh chạy đường trường, đóng bốn ngựa và có hai người đánh xe.	– Megérkezett, – mondták a segédek, kik nemsokára észrevettek az uton egy négylovas utibatárt, két postillonnal.
- Cái giống kỳ lạ thật!	– Micsoda furcsaság!
- Đối thủ của Valentin kêu lên, hắn đi xe trạm đến chịu chết.	– kiáltott föl Valentin ellenfele. – Postakocsiban jön verekedni…
Cả hai người đi lạc trong những lối đi nhỏ giữa đường cái và nơi đấu, và lâu mãi mới lại hiện ra: họ đi chậm chạp.	Mindketten eltüntek a gyalogösvényen, mely a küzdelemre választott helyet az országuttól elválasztotta és csak jó idő mulva bukkantak föl ujra.
Bốn người chứng kiến cái cảnh kỳ lạ đó đều xúc động mạnh trước quang cảnh Valentin tựa vào tay người lão bộc; xanh xao ốm yếu, anh bước đi như người bị thống phong, đầu cúi xuống, không nói một lời.	Lassu lépésben jöttek. E különös jelenet négy szemlélője mély megindultságot érzett az inasára támaszkodó Valentin megpillantásakor, aki sápadt volt, levert, nehezen vonszolta a lábát, feje lecsüggedt és nem szólt egy szót sem.
- Thưa ông, đêm qua tôi không ngủ, - Raphaël nói với đối thủ.	– Uram, én nem aludtam az éjjel, – mondta Raphael az ellenfelének.
Trong thái độ, giọng nói và cử chỉ của Raphaël có cái gì lạ.	Volt Raphael magatartásában, a hangja csengésében és mozdulataiban valami rendkivüli.
Hầu tước ngừng lại một lúc, và ai nấy cũng lặng im theo.	A marquis elhallgatott kissé, s vele hallgattak valamennyien.
Lo lắng và chú tâm lên đến cao độ.	A nyugtalanság tetőpontjára hágott.
- Hãy còn thì giờ, - anh nói tiếp, - để làm cho tôi hài lòng một chút; mà ông ạ, ông hãy nghe đi, nếu không ông sẽ chết mất.	– Most még nem késő, – kezdte ujra, – némi elégtételt adnia; adja meg, uram, különben meg kell halnia.
Lúc này ông hãy còn ỷ vào tài năng của ông, không lùi bước vì nghĩ rằng ông có tất cả mọi thuận lợi trong cuộc chiến đấu này.	Ön most ügyességére számit és nem akar olyan harc elől visszavonulni, amelyhez, ugy véli, megvan minden lehető előnye.
Vậy thì ông ạ, tôi có độ lượng, tôi báo trước cho ông biết ưu thế của tôi.	Van bennem annyi emberség, hogy figyelmeztessem önt az én felsőbbségemre.
Tôi có trong tay một quyền lực ghê gớm.	Rettentő hatalomnak ura vagyok én!
Để thủ tiêu tài khéo léo của ông, để làm mắt ông mờ đi, làm tay ông run lên và tim ông hồi hộp, thậm chí để giết ông nữa, chỉ cần tôi ước nguyện.	Hogy semmivé tegyem ügyességét, elhomályositsam a tekintetét, remegővé tegyem a kezét, megdobogtassam a szivét, hogy megöljem, ahhoz nekem nincsen egyébre szükségem, mint hogy egyszerüen – kivánjam!
Tôi không muốn bị bắt buộc phải sử dụng quyền hành của tôi, dùng nó tôi phải trả một giá quá đắt!	Nem szivesen élnék hatalmammal, mert nagyon meg kell adnom az árát.
Không phải chỉ một mình ông sẽ chết.	Nemcsak ön halna meg egyedül.
Vậy nếu ông từ chối không chịu xin lỗi tôi thì viên đạn của ông sẽ bắn xuống nước của dòng thác kia mặc dầu ông có thói quen giết người, còn viên đạn của tôi sẽ nhằm thẳng quả tim ông tuy tôi không cần ngắm gì cả.	De ha mégis vonakodnék engem némiképp megkövetni, bármily gyakorlott céllövő legyen is, golyója abba a kis vizesésbe fog találni, mig az enyém, anélkül, hogy célba venném, egyenesen a szivét furja keresztül.
Lúc đó có tiếng nói xôn xao ngắt lời Raphaël.	E pillanatban zürzavaros hangok szakitották félbe Raphaelt.
Khi nói những lời đó, hầu tước luôn luôn hướng vào địch thủ ánh mắt đăm đăm khó chịu của anh, anh đứng thẳng người lại với bộ mặt thản nhiên, giống mặt một người điên khùng.	Mialatt beszélt, merev, elviselhetetlenül metsző tekintetét folytonosan ellenfelére szegezte, kiegyenesedett, arca dermedt kifejezést öltött s olyan volt most, mint egy gonoszindulatu megháborodotté.
- Ông bảo hắn im đi, - gã thanh niên đã bảo nhân chứng của mình, tiếng nói hắn làm tôi quặn ruột lại!	– Hallgattassátok el, – mondta a fiatal ember segédei egyikének, – minden szava belémnyilal!
- Thưa các ngài, tôi làm một nhiệm vụ.	– Uraim, én csak kötelességemet teljesitettem.
Chàng thanh niên này có cần phải trối trăn điều gì không?	Nem óhajt ez a fiatal ember rendelkezéseket tenni?
- Cho tôi ngụm nước, khát lắm, - hắn bảo nhân chứng.	– Adj vizet, kérlek, szomjazom, – mondta az egyik segédjének.
- Anh sợ à?	– Félsz?
- Ừ, hắn đáp.	– Igen, – válaszolta.
- Con mắt người này nảy lửa và mê hoặc mình.	– Ennek az embernek lángol a szeme és megigéz engem.
- Anh muốn xin lỗi hắn chăng?	– Meg akarod követni?
- Muộn quá rồi.	– Már késő!
Hai đối thủ được đặt cách xa nhau mười lăm bước.	A mérkőzőket tizenöt lépésnyire állitották föl egymástól.
- chàng thanh niên phụ tá đối thủ của Raphaël kêu lên, - chưa nhồi thuốc nổ mà cậu đã tra đạn.	– Hol jár az eszed, Charles, – kiáltott Raphael ellenfelére a második segéd, – por előtt raksz a csőbe golyót?
- Mình chết mất, - hắn lẩm bẩm đáp, - cậu đã để mình đứng nhìn vào mặt trời...	– Végem van, – tördelte alig hallhatóan, – szembe állitottak a nappal…
- Mặt trời ở sau lưng ông, - Valentin giọng nghiêm trang và trịnh trọng bảo hắn, tay khoan thai lắp đạn vào súng, chẳng để ý tới hiệu lệnh đã phát ra cũng như sự chăm chú cẩn thận của địch thủ để nhằm bắn anh.	– Háta mögött van a nap, – mondta neki komor, ünnepi hangon Valentin, pisztolyát töltögetve, anélkül, hogy izgatta volna a már megadott jel és az a rendkivüli gondosság, amelylyel ellenfele célbavette.
Vẻ yên trí kỳ dị đó có cái gì ghê gớm làm sửng sốt cả hai người đánh xe vì tò mò tàn nhẫn mà tới đó...	Ez a természetfölötti biztonság olyan rettenetes volt, hogy még a két posztillon is belesápadt, kiket a kegyetlen kiváncsiság ösztökélt oda.
- Giỡn đùa với quyền hành của anh, hay muốn thử thách nó, Raphaël nói chuyện với Jonathas và nhìn lão khi anh đón nhận lửa đạn của địch thủ.	Hatalmában elbizakodva, vagy talán azért, mert éppen próbára akarta tenni hatalmát, Jonathas felé fordult és oda se hederitett, mikor eldördült az ellenfél lövése.
Viên đạn của Charles tới làm gẫy một cành liễu và văng xuống nước.	Charles golyója lesodort egy gallyat a rekettyéről és végigpattant a viz szinén.
Tấm bùa chỉ còn to như một chiếc lá sồi	A talizmán alig volt már nagyobb, mint egy tölgyfalevél.
- Ấy kìa!	– Mit bámészkodtok?
Các anh đánh xe, nhìn gì vậy?	– rivalt a két posztillonra.
Ngay chiều hôm đó về tới Pháp, anh lập tức theo đường d'Auvergne đi về phía suối Mont-Dor.	Még az este Franciaországba érve, azonnal nekivágott az auvergnei utnak és megérkezett a mont-dorei fürdőbe.
Đột nhiên anh nghĩ rằng sự chiếm hữu quyền hành, dù nó to lớn đen đâu, không đem lại cái thuật sử dụng nó.	Azért elsőben is az volt a legfőbb gondja, hogy a fürdő közelében valami magányos azilumot fürkészszen ki.
Chiếc quyền trượng đối với một đứa trẻ là một đồ chơi, nó là một chiếc rìu trong tay Richelieu, và với Napoléon, nó là cái đòn bẩy để làm ngả nghiêng thiên hạ.	Ösztönszerüen érezte szükségét annak, hogy a természethez közeledjék és azt a vegetativ életet élje, mely ugy elgyönyörködtet bennünket, mikor réten, mezőn járunk.
Quyền hành vẫn để tay nguyên như cũ và chỉ làm lớn lên những bậc vĩ nhân.	Néha gyönyörüen üde, szépséges tájakra bukkant, melyek kiáltó ellentétben voltak a kopár hegyek komor tekintetével.
Raphaël đã có thể làm tất cả mọi điều, nhưng anh chẳng làm được việc gì.	Körülbelül fél mértföldnyire a falutól bájosan szép helyre bukkant Raphael.
Tới suối Mont-Dor, anh lại gặp cái xã hội đó, nó xa lánh anh vội vã như những con vật trốn bỏ đồng loại của chúng nằm chết sau khi đã đánh hơi từ xa.	Olyan volt az a kis zug, mintha a csintalan, ártatlanul fondorkodó gyermekké lett természet odadugdosta volna minden kincseit.
Vì vậy, điều quan tâm thứ nhất của anh là tìm một ngôi nhà ở hẻo lánh vùng xung quanh suối.	Az életnek itt nyugodtan, békén, lassan kell folynia, mint a növényekének.
Anh cảm thấy như một bản năng cần gần gũi với thiên nhiên, với những xúc động chân thật và cái cuộc sống thảo mộc, nó khiến ta vui thú tìm về nơi đồng nội.	Gondoljunk el egy forditott kupot, rengeteg terjedelemben, gránitból; olyanformát, mint egy csésze, mely köröskörül csupa csorbaság.
Hôm sau ngày tới, anh chật vật leo lên ngọn Sancy và đi thăm những thung lũng cao, những phong cảnh cheo leo, những hồ ít người biết, những nhà tranh quê mùa của Mont-Dor mà những vẻ đẹp khắc khổ và hoang dã bắt đầu cám dỗ các nghệ sĩ của chúng ta.	Itt sima kőfal mered az égnek kékesen, kopáron, minden legcsekélyebb tenyészet nélkül; még a napsugár is ugy pattan vissza róla, mint a tükörről.
Thỉnh thoảng ở đó lại bắt gặp những phong cảnh tuyệt vời đầy duyên dáng và thắm tươi, nó tương phản mạnh với quang cảnh tiêu điều của những ngọn núi hoang vu kia.	Ott meghasadozott, vadvizkivájta sziklák, ingó kőtömbökkel a tetejükben, melyeknek alázuhanását a záporok már előkészitették, vagy csenevész fákkal az ormukon, melyeket ugyancsak megtépázott a szél.
Cách nơi làng xóm chừng gần nửa dặm, Raphaël tìm ra được một nơi mà tạo vật, đỏm dáng và vui vẻ như một đứa trẻ, dường như thích thú giấu giếm những của báu của mình xem thấy nơi hẻo lánh này kỳ thú và mộc mạc, anh quyết định ở lại đó.	Azután erre is, amarra is árnyas, hüs szurdokok, melyekből cédrusként magaslik ki egy-egy gesztenyefa világos lombkoronája és feketetorku, mély barlangok, melyeknek csak a szájuk széle sárga, s zöld pázsitnyelvük gyalogszederindák és virágok közül kandikál ki.
Cuộc sống ở nơi đây chắc sẽ hồn nhiên, thô giản như cây cỏ.	E katlan fenekén, mely hajdanta talán valami tüzhányó tölcsére lehetett, kis tisztavizü tó csillogott, mint a gyémánt.
Ở đáy lòng chảo đó có lẽ xưa nó là miệng một núi lửa, có một hồ nước trong lóng lánh như kim cương.	A gránittal, füzzel, madárliliommal, kőrisfával és ezer virágbaborult illatozó növénynyel övezett katlanfenék körül olyan egyenletesen pázsitos rét terült el, mint aminők az angol játszóterek.
Trên cao đến khoảng nào đó thì không còn cây cối nữa.	Bizonyos magasságban megszünt a vegetáció.
Đá hoa cương dựng lên thành những hình kỳ lạ nhất và đượm những màu sắc mông lung làm cho núi cao phảng phất như mây trời.	A gránit odafönn a magasban mindenféle, szeszélyesnél szeszélyesebb alakot öltött és olyan ködös-homályos körvonalakba olvadt, mint a minők a magas hegyeket oly hasonlatossá teszik a felhőkkel.
Tương phản với quang cảnh dịu dàng của thung lũng nhỏ đó những núi đá trơ trụi, không cây cối gì, bày ra hình ảnh hoang dã và cằn cỗi của cảnh thê lương, của những sập lở đáng sợ, của những hình thù oái oăm đến nỗi một ngọn núi đá đó được gọi là Capucin, nó giống hệt như một thầy tu.	A völgyecske megragadó képével szemben ezek a kopár, meztelen bütük, a fenyegető sziklaomlások a sivárságnak oly lehangoló képét nyujtották, hogy az egyik különösen szeszélyes formát öltött sziklát el is nevezték a "Kapucinus"-nak, annyira hasonlitott valami kámzsáshoz.
Thỉnh thoảng, những chỏm mũi nhọn ấy, những trụ đá ngạo nghễ ấy, những hang cheo leo ấy lần lượt sáng rực lên, tùy theo chiều hướng mặt trời hay những biến thái của không trung, và mang những biển sắc của màu vàng, nhuốm màu đỏ, ngả màu hồng thắm, hoặc xỉn lại hoặc xám xịt.	Ezek a hegyes bütük, ezek a vakmerő kőszálak és levegőben függő odrok föl-fölragyogtak, a nap járása vagy az atmoszféra szeszélyes játékai szerint hol aranyos fényben, hol bibor izzásban, hol élénk vagy bágyadt rózsaszinben, hol szürkén csupán.
Những ngọn núi cao đó bày ra một cảnh tượng liên tục và biến đổi như cổ con chim cu lấp loáng ngũ sắc.	Ez az oromtájék állandóan gyönyörüséges látványt nyujtott és ugy váltakozott szinekben, mint galamb begyén a szivárványos tollak.
Thường khi, giữa hai phiến đá núi lửa tượng như do một nhát rìu xẻ làm đôi, một tia nắng đẹp, lúc bình minh hay buổi hoàng hôn, xuyên tới đáy cái bồn vui tươi đó, đến giỡn trên nước mặt hồ, giống như tia nắng vàng lọt qua khe cửa, xuyên ngang một gian buồng Tây Ban Nha cửa đóng kín để ngủ trưa.	Két lávafal közt néha, melyet mintha roppant fejsze hasitott volna ketté, betüzött a fölpitymallott, vagy nyugovó nap egy-egy sugara egészen a mosolygó virágkosár fenekéig, hol megcsillant a medence vizén, ugyanugy, mint ahogy az ablaktábla hasadékán is befurakodik egy-egy aranyos sugár és végigtáncol a szobán, melyet a sziesztára gondosan besötétitettek.
Khi mặt trời là là trên cái miệng núi lửa xưa, do cuộc biến thiên tối cổ nào đó làm ngập nước, những sườn đá nóng rực lên, ngọn núi lửa cũ cháy bừng, và hơi nóng chóng vánh làm dậy những mầm non, đượm nhuần cây cỏ, nhuốm sắc cho hoa, và làm chín quả ở mảnh đất nhỏ hẻo lánh này.	Mikor a déli nap egyenesen e hajdani kráterbe tüzött, melyet talán még valami antidiluviális revolució töltött meg vizzel, a sömörgős sziklafalak áthevültek, az egykori vulkán kigyulladt és rekkenővé lett hősége kipattantotta a rügyet, bujábbá tette a vegetációt, himesebbé a virágot és megérlelte ez ismeretlen kis zug gyümölcseit.
Một làn khói mong manh, mà chim chóc không sợ hãi nữa, tỏa ra từ chiếc ống khói điêu tàn.	A düledező kemence kürtőjén át vékonyka füstkigyó kanyargott fel a levegőbe, mely nem riasztotta el a madarakat.
Ở cửa ra vào, một chiếc ghế dài lớn đặt giữa hai gốc kim ngân to đỏ hoa và ngát hương thơm.	Jobbra-balra tőle egy-egy hatalmas, pirosvirágu jerikói lonc, mely balzsamos illattal töltötte be a levegőt.
Những cành nho và những dây hoa hồng và hoa nhài mọc lan tràn bừa bãi hầu như phủ kín tường nhà.	A falat alig lehetett látni a sürü szőlőindától, futórózsától és jázminbokortól, mely kénye-kedvére, háboritatlanul nőtt a fal tövében.
Không quan tâm đến cái đồ trang sức thôn dã đó, người dân ở đây không chăm sóc nó và để cho tạo vật phô bày cái duyên dáng trinh khiết và nghịch ngợm.	Lakosainak fogalmuk sem volt a természetnek e gyönyörü ékességéről, azért nem is törődtek vele és meghagyták a természetet a maga szüziességében, rakoncátlanságában.
Những tã lót mắc trên một cây phúc bồn tử phơi dưới nắng.	A ribiszkebokrok tetején pelenkák száradtak a napon.
Dường như thế giới tận cùng ở đó.	Mintha itt lett volna a világ vége.
Ngôi nhà ấy giống như những tổ chim khéo léo cài vào một hốc núi đá, đầy nghệ thuật mà cũng sơ sài.	Olyan volt ez a kis viskó, mint a nagy furfanggal sziklaüregbe tapasztott madárfészek; csupa müvészet és csupa pongyolaság együtt.
Đó là một cảnh vật chất phác và dịu hiền, một cảnh quê mùa thật sự nên thơ, bởi vì nó nở ra ở xa hàng nghìn dặm những thơ ca chải chuốt của chúng ta, không tương tự với một ý niệm nào, chỉ xuất phát từ bản thân nó, đó là sự toàn thắng thật sự của ngẫu nhiên.	Ártatlan és igaz természetesség, ősegyszerüség, melynek költészete mérhetetlen távol jár a mi kendőzött poézisünktől, mert magától, gondolat nélkül támadt, igaz diadalául a véletlennek.
Lúc Raphaël tới, mặt trời rọi nắng từ phải sang trái, và làm rực rỡ những màu sắc cây cỏ, làm nổi lên hay tô điểm những huyền diệu của ánh sáng, những tương phản của bóng tối, nền vàng và xám của núi đá, các màu xanh của lá cây những đám hoa xanh biếc, đỏ hay trắng, những cây leo mang hoa hình chuông, làn nhung lấp lánh của rêu, những chùm hoa thạch thảo màu tía, nhưng nhất là làn nước trong vắt phản chiếu trung thành những ngọn núi hoa cương, cây cối, ngôi nhà và bầu trời.	Mikor Raphael odaért, a nap haránt vetette sugarait a tájra és fölragyogott nyomán a növényzet buja szine, kidomborodott a fény és árnyék elegyüléseiben minden szépség, a sziklák sárga, szürkésbe játszó foltjai, a lombok megannyiféle zöldje, a virágok kék, piros meg fehér csapata, a kuszó indák csöngettyükelyheikkel, a szineváltó bársonyos moha, a hanga bibor fürtei, de mindenekfölött a viz tiszta szine, melyen hiven tükröződtek vissza a gránit kőszálak, a fák, a házikó, meg az égbolt.
Hơi ấm của nước, của hoa và hang đá nồng đượm cái góc hẻo lánh này đem lại cho Raphaël một cảm giác hầu như khoái trá.	Raphaelt szinte kéjesen bóditotta el a viz, a virágok és a fák balzsamos illata, mely betöltötte ez elhagyatott helyet.
Cái im lặng trang nghiêm ở khu rừng nhỏ này, có lẽ quên ghi trên danh bạ của sở thuế, đột nhiên bị tiếng sủa của hai con chó phá tan.	A berek magasztos csöndjét, melyet adószedő lépései talán még sohasem bolygattak meg, hirtelen kutyaugatás zavarta meg.
Những con bò cái quay đầu về phía đường vào thung lũng, chĩa mõm ẩm ướt ra trước Raphaël, rồi sau khi ngắm nhìn anh một cách khờ dại lại tiếp tục gặm cỏ.	A tehenek a völgy szája felé fordulva bambán megbámulták Raphaelt, majd ujra legelészni kezdtek.
Cheo leo trên núi đá như có phép thuật, một con dê cái và con nó nhảy lồng lên và tới đứng trên một phiến hoa cương gần Raphaël, hình như để hỏi anh.	Csodálatos ügyességgel szikláról-sziklára szökelve egy anyakecske, meg egy bak közeledtek Raphael felé és megállva közelében valami lapostetejü sziklán, mintha azt kérdezték volna tőle, mi szél hozta ide.
Hai nhân vật đó ăn khớp với phong cảnh, với bầu trời, những bông hoa và ngôi nhà.	Ez a két teremtés tökéletesen ide illett, ebbe a környezetbe, ezek közé a virágok közé, ebbe a házba.
Cụ già thuộc loại những kiểu mẫu mà ngọn bút sơn khỏe khoắn của Schnetz ưa thích; đó là một bộ mặt nâu đầy vết nhăn tưởng như mó vào thấy sần sùi, một cái mũi thẳng, đôi gò má nhô ra và có gân đỏ như một chiếc lá nho già những nét gẫy góc, tất cả những đặc trưng của sự cường tráng, ngay cả ở chỗ không còn cường tráng nữa.	Az aggastyán afféle modell volt, mint a minőt Schnetz erővel teljes ecsetje oly megkapóan szokott ábrázolni; barnára égett arcbőr, melynek számtalan redője keménynek látszott érintésre; egyenes orr; majd kicsattanó kép, melyen ugy ágaztak szét az apró, vörös erek, mint őszszel a szőlő levelén; bütykös, szögletes körvonalak és mindenütt az erő és keménység jellemző vonásai, még ott is, a honnan kipusztult már az erő.
Đứa trẻ, một dân miền núi chính cống, có cặp mắt đen có thể nhìn thẳng vào mặt trời mà không chớp, sắc mặt nâu sẫm, tóc nâu rối bù.	A gyereknek, ez igazi hegyvidéki szülöttnek, fekete szeme volt, melylyel hunyorgás nélkül tudott a napba nézni, napsütötte arca, kócos barna haja.
Chẳng mấy lúc sau, một người đàn bà chừng ba mươi tuổi hiện ra ở ngưỡng cửa.	Később egy harmincéves-forma menyecske lépett ki a küszöbön.
Chị vừa đi vừa kéo sợi.	Font, járás közben.
- Bác ở đây mà không sợ ư?	– Nem fél itt, jó asszony?
Vả lại, - chị vừa nói vừa dẫn hầu tước vào gian buồng lớn trong nhà, - kẻ trộm vào nhà chúng tôi thì lấy được cái gì?	És a füsttől kormos falra mutatott, melynek nem volt egyéb ékessége három rikitó pirossal, kékkel, zölddel festett képnél.
Ra khỏi nhà, Raphaël trông thấy giữa những núi đá một người đàn ông tay cầm cuốc và cúi xuống, tò mò nhìn ngôi nhà.	Mikor kilépett a házból Raphael, a sziklák között egy férfit pillantott meg, kapával a kezében, aki kiváncsian tekintgetett a ház felé.
- Thưa ông, bố nó đấy, - chị người xứ Auvergne nói và thoáng nụ cười quen thuộc của những phụ nữ nông thôn.	– Az az én uram, – mondta a menyecske, a paraszti sorban levők nevetős hangján.
- Nhà tôi cày ruộng trên đó.	– Odafönn dolgozik most.
- Thế cụ già đây là thân sinh ra bác à?	– És az öreg a maga apja?
- Xin lỗi ông, đấy là ông của bố nó.	– Nem, kérem alássan, az az uram nagyapja.
Trông thế mà cụ đã một trăm lẻ hai tuổi rồi.	Kerek százkét esztendős mostan.
Vậy mà, bữa trước cụ đi bộ dẫn thằng cháu nhỏ ra tận Clermont đấy!	Csak most nemrégiben is gyalogszerrel vitte el a lurkónkat Clermontba!
Lúc nào cụ cũng đùa với cháu.	Mindig a gyerekkel biberészik.
Thỉnh thoảng cháu lại dẫn cụ lên núi thế mà cụ cũng đi.	Megesik, hogy a gyerek fölcsalogatja a hegyre és az öreg föl is megy vele szépen.
Lập tức Valentin quyết định sống giữa cụ già và em bé đó, thở không khí của họ, ăn chung bánh với họ, uống chung nước với họ, ngủ giấc ngủ của họ, gây cái máu của họ trong mạch máu mình.	Valentinben megérett az elhatározás, hogy ennek az aggastyánnak, meg ennek a gyereknek az életét fogja élni, az ő levegőjüket szivja, az ő kenyerüket eszi, az ő vizüket iszsza, az ő álmukat aluszsza és az ő vérüket pezsegteti meg az ereiben.
Cao hứng của kẻ hấp hối!	A haldokló szeszélye!
Trở thành một con trai bám vào cái núi đá này, cứu vãn lấy cái vỏ của nó thêm vài ngày nữa bằng cách làm tê liệt cái chết, đối với anh đó là tiêu chuẩn tối cao của đạo đức cá nhân, phương thức tồn tại chân chính của con người, lý tưởng đẹp đẽ của cuộc sống, cuộc sống duy nhất, cuộc sống thật sự.	Csigává lenni itt e sziklák között, néhány nappal tovább óvni a házát, elriogatni még kissé a halált, ez volt most az ő szemében az egyéni morál netovábbja, az emberi lét igazi formulája, az élet legszebb ideálja, az egyedüli élet, az igazi élet.
Trong lòng anh nảy nở ra một tư tưởng vị kỷ, nó dìm ngập cả vũ trụ.	Mélységesen önző gondolat lopakodott a szivébe, a melyben elmerült az egész mindenség.
Đối với anh, không còn vũ trụ nữa, cả vũ trụ nằm trong con người anh.	Az ő szemében nem volt többé mindenség, mert az egész világegyetem őbenne magában volt.
Trong cuộc đời ai mà chẳng có một lần theo dõi bước đi, lối bò của một con kiến, lấy rơm chọc vào cái lỗ thở duy nhất của một con ốc sên hung vàng, xem xét những lắt léo của một con chuồn chuồn mỏng manh, thường ngắm bao nhiêu đường gân, tô màu như một cửa kính tròn ở nhà thờ gotique, nổi lên trên nền đo đỏ của những chiếc lá cây sồi non!	Kinek életében nem volt még olyan idő, amikor vizsgálódó szemmel kémlelte a hangyák sürgését-forgását, mikor szalmaszállal piszkálgatta a házába huzódott csigát, mikor elgyönyörködött a szitakötő szeszélyes csapongásaiban és megbámulta a tölgylevél ezer apró erét, mely szinesen bonyolódik össze, mint gót székesegyházon a rózsa köküllői!
Ai mà đã chẳng mất bao nhiêu thời giờ thú vị ngắm nhìn tác động của nắng mưa trên một mái ngói màu nâu, hay ngắm nghía những giọt sương, những cánh hoa, những đường kẻ muôn vẻ của đài hoa?	Ki nem gyönyörködött még el órahosszant a zuhogó esőben, mely barna cseréptetőn annyi szeszélyes játékot űz; ki nem szemlélte még a harmat csöppjeit, a virágok szirmát, kelyheik változatos formáit?
